ah,LABEL,Category,INVOLVED OBJECTS,ICONCLASS,SMELL MENTIONED IN ICONCLASS,SCENT FAMILY,RELATED SCENT,Iconclass Suggestions,Source (if found),
1,"Adoration of the kings: the Wise Men present their gifts to the Christ-child (gold, frankincense and myrrh)",Bible (Mathew 2: 1),"ciborium, infant touching gold, 3 men ",73B57,yes,resinous,"frankincense, myrrh ",Iconclass Sugestions (IS): do not change ,,
2,The altar of burnt offering in Tabernacle ~ Jewish religion ,"(Hebrew) Bible (Exodus 25–31, 35-40)",smoke,12A3121,no,resinous,"Galbanum, Frankincence, Onycha","IS: Add the ingredients of the incense - gum resin, onycha, galbanum and frankincense (cite Exodus 34)","Recipe for incense: Exodus 34: (Line) 34 Then the Lord said to Moses, “Take fragrant spices—gum resin, onycha and galbanum—and pure frankincense, all in equal amounts, 35 and make a fragrant blend of incense, the work of a perfumer. It is to be salted and pure and sacred. 36 Grind some of it to powder and place it in front of the ark of the covenant law in the tent of meeting, where I will meet with you. It shall be most holy to you. 37 Do not make any incense with this formula for yourselves; consider it holy to the Lord. 38 Whoever makes incense like it to enjoy its fragrance must be cut off from their people.”",
3,The Annunciation (holy spirit appearing as a scent to Mary),Bible,"kneeling woman, angel, vase with flowers",X,X,,Floral,Golden Ledgend,,
4,"Daphne changed into a laurel-tree: while fleeing from Apollo, Daphne is changed into a laurel tree by her father Peneus (Ovid, Metamorphoses I 548)",(Greek) Myth,"Daphne w/ upraised arms (branches), Apollo with a bow, leaf crown",97AA1,yes,Fresh/green,Laurel,IS: do not change,,
5,Armida binds Rinaldo with Flowers (the abduction of Rinaldo),Gerusalemme liberata; (en) Jeruselum Delivered,"chariot drawn by horses, chain of flowers (roses, lilies)",X,X,Floral,"Rose, lily",IS: Add this story to Iconclass. Presently iconclass has 82A(Rinaldo) and 82AA(Armida) but we cannot find the story of both. Speciic smells added: roses and lilies. Name: Gerusalemme liberata; sec. Abduction of Rinaldo,"Abduction of Rinaldo: The sorceress bound Rinaldo with a magic chain of
woodbines, lilies and roses and laid him in her chariot (14:68). (Cite Dictionary of Subjects and Symbols in Art by James Hall)",
6,Birth of Adonis: the tree splits open to release the baby; the Naiads take care of him,(Greek) Myth,"baby being born from a half tree/half woman (Myrrha), nymphs, Lucina, Venus",92C4911,no,Empyreumatic/ smoky,Myrrh,"IS: mention that this is a myrrh tree. Adonis is the son of Myrrah (Ovid, Metamorphoses X, 503-514).  https://eclecticlight.co/2019/12/21/myrrh-in-paintings-1-adonis-born-from-a-tree/ ",,
7,"Bread, Host ",Bible,,11Q7151,yes,Gourmand/ food,,IS: do not change,Panis angelorum,
8,Christ in the house of Martha and Mary (Luke 10:38-42),Bible,making food,73C7223,yes,gourmand/ food,,,"Luke 10: 38 As Jesus and his disciples were on their way, he came to a village where a woman named Martha opened her home to him. 39 She had a sister called Mary, who sat at the Lord’s feet listening to what he said. 40 But Martha was distracted by all the preparations that had to be made. She came to him and asked, “Lord, don’t you care that my sister has left me to do the work by myself? Tell her to help me!”",
9,Christ blessing the apostles on the Mount of Olives (Luke 22:39-46),Bible,,73E413,yes,"fresh/green, gourmand/ food",Olive tree,IS: do not change,,
10,"Cydippe, in Diana's temple, reads aloud what is written on the apple thrown by Acontius",Myth,,95A(ACONTIUS & CYDIPPE)211,yes,gourmand/ food,,,,
11,Dog recognizes Odyssee by sense of smell,(Greek) Myth,,unsure,X,body odour (human),,,,
12,Fly (as an indicator of smell),Allegory of Smell,"Fruit, vegetables, fly",X,X,gourmand/ food / floral,,"IS: add ""as an indicator of smell""",Often depicted in still life paintings - Smell of ripeness / decay,
