code,name,assigned smell
25H15,"forest, wood",forest
47I53,"greenhouse, orangery",fruity
47I53,"greenhouse, orangery",orange
47K11,"whale fishery, whaling",ambergris
47K11,"whale fishery, whaling",sulphur
41B161,bonfire,smoke
25F26,rodents,Castoreum
41C62,"bread, cake, pastry, etc.",bread
41C6411,butter,butter
25G41(...),flowers (with NAME),carnation
11Q71428,censer,frankincense
41C6412,cheese,cheese
41B214,chimney,smoke
41C6352,chocolate (solid),cacao
41C723,"chocolate, cocoa",cacao
41C742,cigar,tobacco
41C742,cigar,smoke
41C7421,cigar-box,cedar
41C7421,cigar-box,smoke
41C7421,cigar-box,tobacco
41C7422,cigar-case,tobacco
41C7422,cigar-case,smoke
41C7423,cigar-holder,tobacco
41C7423,cigar-holder,smoke
41C743,cigarette,tobacco
41C743,cigarette,smoke
25D451,gas extracted from coal,coal
41C721,coffee,coffee
25FF411,dragon,dragon's breath
25G3(...),trees (with NAME),elm
25F6,fishes,fish
44E54,"litter, rubbish, garbage ~ street sweeping",sulphurous/ rotten/ fecal
25G4(...),plants and herbs (with NAME),garlic
25G4,plants and herbs,herb
41C762,"incense-burner ~ scents, perfumes",frankincense
41C762,"incense-burner ~ scents, perfumes",myrrh
47H11,linen (material ~ textile industry),lavender
47H11,linen (material ~ textile industry),musk
47H11,linen (material ~ textile industry),rose
47H11,linen (material ~ textile industry),cedar
25F24(...),hoofed animals (with NAME),musk
25F26(...),rodents (with NAME),musk
25G3(...),trees (with NAME),myrrh
25G22(...),(non-fruit) products of plants or trees (with NAME),onion
41C622,"cake, tart, pastry",pastry
41C741,pipe ~ tobacco,tobacco
31A51451,"pomander, musk ball",ambergris
31A51451,"pomander, musk ball",musk
31A51451,"pomander, musk ball",rose
31A51451,"pomander, musk ball",cloves
31A51451,"pomander, musk ball",lemon
31A51451,"pomander, musk ball",civet
31A51451,"pomander, musk ball",cinnamon
31A51451,"pomander, musk ball",nutmeg
31A51451,"pomander, musk ball",schlag
31A51451,"pomander, musk ball",rosemary
31A51451,"pomander, musk ball",thyme
25G41(...),flowers (with NAME),rose
41B162,smoke,smoke
41C7441,snuff-box,Radish
41C713,distilled spirits,gin
41C713,distilled spirits,jenever
46C1521,steam locomotive,steam
41C722,tea (leaves),tea
41C672,vinegar,vinegar
25G41(...),flowers (with NAME),iris
41C681,seafood,seafood
41B34,oil-lamp,oil
41C69,meat; still life of meat,meat
41C693,sausage,sausage
41C694,ham,ham
41C623,pancakes,pancake
41C625,pie,pie
47I212,pig,pig
46C13141,horse,horse
47I211,bovine cattle,cow
47I21111,ox,bull
47I214,goat,caprylic/ hircinos
34B232,"fowl (cock, hen, chicken, etc.)",pigeon
25H2322,sea,sea
25G3,trees,tree
25H17,"meadow, pasture",meadowsweet
41C66(...),"seasonings, spices (with NAME)",cloves
25G22(...),(non-fruit) products of plants or trees (with NAME),cinnamon
25G3(...),trees (with NAME),oak
25G3(...),trees (with NAME),acacia
25G41(...),flowers (with NAME),violet
25G41(...),flowers (with NAME),hyacinth
41A721,chair,tar
25G31(...),shrubs (with NAME),juniper
25G31(...),shrubs (with NAME),juniper berry
